Muestra,Descripcion Muestra,Año,Atropello,Caída,Colisión,Choque,Volcadura,Otros ,Muertos,Lesionados Graves,Lesionados Menos Graves,Lesionados Leves,(Incorporar Otra Columna Si es Necesario)
Comunal,GALVARINO,2010,2,0,5,4,9,1,1,9,6,21,
Comunal,GALVARINO,2011,2,0,12,13,8,0,1,3,11,34,
Comunal,GORBEA,2010,1,0,9,11,6,0,0,4,5,19,
Comunal,GORBEA,2011,0,0,10,14,11,0,1,2,7,24,
Comunal,LAUTARO,2010,19,2,44,44,32,3,4,24,29,127,
Comunal,LAUTARO,2011,18,0,68,83,22,8,8,30,23,174,
Comunal,LONCOCHE,2010,9,0,29,22,13,0,4,17,4,54,
Comunal,LONCOCHE,2011,11,0,26,35,24,2,6,11,12,82,
Comunal,MELIPEUCO,2010,0,0,0,2,0,0,3,0,1,1,
Comunal,MELIPEUCO,2011,4,0,1,0,4,0,2,1,6,4,
Comunal,NUEVA IMPERIAL,2010,11,2,27,7,8,1,7,22,13,61,
Comunal,NUEVA IMPERIAL,2011,10,1,20,8,9,1,10,16,13,81,
Comunal,PADRE LAS CASAS,2010,11,1,25,19,7,1,7,35,15,49,
Comunal,PADRE LAS CASAS,2011,19,1,31,23,15,0,8,34,28,72,
Comunal,PERQUENCO,2010,3,0,3,8,2,0,0,8,3,14,
Comunal,PERQUENCO,2011,2,0,11,19,5,0,0,8,4,54,
Comunal,PITRUFQUEN,2010,13,1,13,7,6,0,8,5,2,42,
Comunal,PITRUFQUEN,2011,10,0,9,8,4,0,5,2,2,23,
Comunal,PUCON,2010,14,1,68,41,9,3,6,12,8,94,
Comunal,PUCON,2011,21,1,103,56,14,8,2,11,16,115,
Comunal,SAAVEDRA,2010,0,0,2,1,3,0,1,3,3,6,
Comunal,SAAVEDRA,2011,4,0,0,2,0,0,1,0,2,11,
Comunal,TEODORO SCHMIDT,2010,2,0,3,3,6,0,3,3,2,28,
Comunal,TEODORO SCHMIDT,2011,0,0,3,0,1,0,2,0,0,3,
Comunal,TOLTEN,2010,0,0,0,1,0,0,1,2,0,0,
Comunal,TOLTEN,2011,4,0,5,0,4,0,1,0,4,8,
Comunal,VILCUN,2010,4,1,10,5,6,0,6,17,8,18,
Comunal,VILCUN,2011,6,0,15,7,5,0,3,12,13,38,
Comunal,VILLARRICA,2010,28,7,97,55,32,4,4,46,19,268,
Comunal,VILLARRICA,2011,36,4,83,73,24,1,4,27,25,215,
Comunal,CHOL CHOL,2010,3,0,2,1,4,0,4,3,1,9,
Comunal,CHOL CHOL,2011,2,0,1,1,1,0,2,0,0,3,
Comunal,ANGOL,2010,26,0,166,69,19,2,3,24,9,161,
Comunal,ANGOL,2011,45,6,213,105,17,6,1,22,14,231,
Comunal,COLLIPULLI,2010,5,2,16,12,20,0,4,6,4,69,
Comunal,COLLIPULLI,2011,12,0,53,25,12,2,6,16,11,66,
Comunal,CURACAUTIN,2010,5,0,17,3,13,2,1,10,7,61,
Comunal,CURACAUTIN,2011,5,0,18,6,21,0,3,16,8,72,
Comunal,ERCILLA,2010,1,0,5,2,5,0,4,13,4,68,
Comunal,ERCILLA,2011,5,0,4,7,0,1,2,3,1,15,
Comunal,LONQUIMAY,2010,7,0,4,5,5,0,1,1,3,32,
Comunal,LONQUIMAY,2011,0,0,6,6,8,1,0,2,3,34,
Comunal,LOS SAUCES,2010,1,0,10,3,3,0,0,3,1,21,
Comunal,LOS SAUCES,2011,0,1,9,7,5,1,2,6,2,25,
Comunal,LUMACO,2010,2,0,1,1,5,0,4,3,2,5,
Comunal,LUMACO,2011,1,0,2,1,3,0,0,1,6,10,
Comunal,PUREN,2010,6,0,10,5,7,0,3,3,4,25,
Comunal,PUREN,2011,1,0,11,15,5,0,0,1,3,16,
Comunal,RENAICO,2010,3,1,14,4,4,0,1,10,4,21,
Comunal,RENAICO,2011,6,0,6,6,5,2,2,3,3,21,
Comunal,TRAIGUEN,2010,5,0,9,1,11,1,1,6,8,35,
Comunal,TRAIGUEN,2011,10,0,12,2,7,0,2,6,11,24,
Comunal,VICTORIA,2010,17,1,69,43,25,2,7,17,6,117,
Comunal,VICTORIA,2011,22,2,76,55,29,3,1,15,12,118,
Regional,XIV Región de Los Ríos,2010,251,18,423,176,113,12,35,152,141,1.084,
Regional,XIV Región de Los Ríos,2011,192,14,612,235,125,2,40,142,174,1.192,
Comunal,VALDIVIA,2010,148,14,268,87,23,8,8,78,31,562,
Comunal,VALDIVIA,2011,95,12,433,135,30,0,7,56,35,539,
Comunal,CORRAL,2010,0,0,1,1,1,0,0,0,1,5,
Comunal,CORRAL,2011,1,0,5,1,4,0,0,3,1,10,
Comunal,LANCO,2010,10,0,7,3,5,0,3,9,1,48,
Comunal,LANCO,2011,9,0,11,6,5,0,5,16,12,33,
Comunal,LOS LAGOS,2010,22,0,11,11,12,1,4,12,16,46,
Comunal,LOS LAGOS,2011,13,0,15,14,9,0,6,2,34,44,
Comunal,MAFIL,2010,1,0,5,3,8,0,1,5,5,20,
Comunal,MAFIL,2011,2,0,6,5,9,0,2,9,5,44,
Comunal,MARIQUINA,2010,7,0,17,8,11,0,6,8,16,75,
Comunal,MARIQUINA,2011,6,0,7,4,14,0,3,4,9,58,
Comunal,PAILLACO,2010,4,0,17,22,11,2,1,0,17,56,
Comunal,PAILLACO,2011,4,1,21,22,11,2,2,9,20,58,
Comunal,PANGUIPULLI,2010,18,2,14,6,11,0,3,13,11,46,
Comunal,PANGUIPULLI,2011,17,0,24,6,17,0,5,12,15,125,
Comunal,LA UNION,2010,27,1,47,20,17,0,3,11,21,138,
Comunal,LA UNION,2011,29,1,48,25,10,0,6,9,16,122,
Comunal,FUTRONO,2010,3,0,8,6,3,0,1,7,14,11,
Comunal,FUTRONO,2011,5,0,6,6,2,0,0,11,13,52,
Comunal,LAGO RANCO,2010,0,0,3,3,5,0,0,1,2,16,
Comunal,LAGO RANCO,2011,3,0,5,5,0,0,1,4,1,26,
Comunal,RIO BUENO,2010,11,1,25,6,6,1,5,8,6,61,
Comunal,RIO BUENO,2011,8,0,31,6,14,0,3,7,13,81,
Regional,X Región de Los Lagos,2010,544,36,1.082,638,250,35,96,384,228,2.279,
Regional,X Región de Los Lagos,2011,572,29,1.296,740,280,48,85,418,251,2.332,
Comunal,PUERTO MONTT,2010,218,14,463,277,39,11,25,126,66,754,
Comunal,PUERTO MONTT,2011,213,7,456,271,29,10,19,121,56,675,
Comunal,CALBUCO,2010,10,0,5,0,8,0,7,11,6,14,
Comunal,CALBUCO,2011,10,0,10,2,9,1,4,18,10,63,
Comunal,COCHAMO,2010,1,0,3,0,0,0,0,1,1,1,
Comunal,COCHAMO,2011,1,0,2,0,0,0,0,0,1,1,
Comunal,FRESIA,2010,2,1,5,4,1,0,0,0,0,3,
Comunal,FRESIA,2011,4,0,4,7,9,0,1,5,8,19,
Comunal,FRUTILLAR,2010,4,0,14,10,11,0,2,6,7,17,
Comunal,FRUTILLAR,2011,11,0,32,23,16,1,1,11,15,56,
Comunal,LOS MUERMOS,2010,10,0,20,15,13,0,5,23,8,42,
Comunal,LOS MUERMOS,2011,3,0,9,4,6,2,0,13,11,12,
Comunal,LLANQUIHUE,2010,6,0,9,1,3,0,2,5,2,17,
Comunal,LLANQUIHUE,2011,4,0,7,13,11,0,0,12,7,43,
Comunal,MAULLIN,2010,1,0,5,2,7,0,0,4,2,21,
Comunal,MAULLIN,2011,2,1,14,3,2,0,2,8,2,27,
Comunal,PUERTO VARAS,2010,19,0,44,18,15,1,10,24,6,78,
Comunal,PUERTO VARAS,2011,16,0,43,25,15,0,4,19,12,91,
Comunal,CASTRO,2010,49,4,92,104,15,3,3,32,17,218,
Comunal,CASTRO,2011,62,4,154,80,25,21,2,27,16,228,
Comunal,ANCUD,2010,44,1,67,33,22,0,1,19,16,180,
Comunal,ANCUD,2011,41,4,69,47,19,0,3,20,15,145,
Comunal,CHONCHI,2010,5,0,5,4,6,0,3,7,9,32,
Comunal,CHONCHI,2011,1,0,3,3,1,0,1,6,1,7,
Comunal,CURACO DE VELEZ,2010,1,1,2,2,1,0,1,4,1,4,
Comunal,CURACO DE VELEZ,2011,1,0,4,5,2,0,0,1,0,16,
Comunal,DALCAHUE,2010,6,1,5,6,8,0,0,6,5,43,
Comunal,DALCAHUE,2011,5,0,18,3,12,1,10,7,5,47,
Comunal,PUQUELDON,2010,0,0,2,1,3,0,1,1,1,9,
Comunal,PUQUELDON,2011,0,0,1,0,0,0,0,0,0,1,
Comunal,QUEILEN,2010,0,0,0,0,0,0,0,0,0,0,
Comunal,QUEILEN,2011,1,0,0,0,4,0,0,0,0,10,
Comunal,QUELLON,2010,15,1,22,37,3,0,3,8,13,42,
Comunal,QUELLON,2011,18,0,14,18,4,0,5,10,9,33,
Comunal,QUEMCHI,2010,1,0,6,0,2,0,0,3,1,15,
Comunal,QUEMCHI,2011,3,0,3,2,5,0,2,3,1,13,
Comunal,QUINCHAO,2010,2,0,0,0,0,0,1,2,0,0,
Comunal,QUINCHAO,2011,0,0,0,0,0,0,0,0,0,0,
Comunal,OSORNO,2010,126,12,264,88,36,13,17,57,41,565,
Comunal,OSORNO,2011,153,11,388,172,34,9,13,84,37,578,
Comunal,PUERTO OCTAY,2010,3,0,4,4,13,0,5,12,8,44,
Comunal,PUERTO OCTAY,2011,3,0,8,7,13,0,5,9,8,48,
Comunal,PURRANQUE,2010,9,0,21,8,13,2,2,10,5,59,
Comunal,PURRANQUE,2011,6,1,20,13,10,0,1,6,3,48,
Comunal,PUYEHUE,2010,0,0,3,3,1,0,0,6,0,13,
Comunal,PUYEHUE,2011,7,0,5,2,8,1,5,6,4,16,
